time,station,land,year,month
1901.54,-0.18,-0.15,1901,7
1901.63,-0.15,-0.21,1901,8
1901.71,0.02,-0.23,1901,9
1901.79,-0.07,-0.3,1901,10
1901.88,-0.13,-0.17,1901,11
1901.96,-0.2,-0.28,1901,12
1902.04,-0.19,-0.16,1902,1
1902.13,-0.06,-0.09,1902,2
1902.21,-0.14,-0.27,1902,3
1902.29,-0.14,-0.28,1902,4
1902.38,-0.22,-0.33,1902,5
1902.46,-0.21,-0.32,1902,6
1902.54,-0.37,-0.28,1902,7
1902.63,-0.41,-0.3,1902,8
1902.71,-0.36,-0.29,1902,9
1902.79,-0.39,-0.31,1902,10
1902.88,-0.37,-0.36,1902,11
1902.96,-0.46,-0.42,1902,12
1903.04,-0.31,-0.24,1903,1
1903.13,-0.12,-0.06,1903,2
1903.21,-0.12,-0.23,1903,3
1903.29,-0.47,-0.41,1903,4
1903.38,-0.3,-0.4,1903,5
1903.46,-0.52,-0.43,1903,6
1903.54,-0.25,-0.35,1903,7
1903.63,-0.32,-0.46,1903,8
1903.71,-0.38,-0.49,1903,9
1903.79,-0.37,-0.47,1903,10
1903.88,-0.39,-0.42,1903,11
1903.96,-0.53,-0.51,1903,12
1904.04,-0.67,-0.63,1904,1
1904.13,-0.71,-0.59,1904,2
1904.21,-0.52,-0.51,1904,3
1904.29,-0.35,-0.51,1904,4
1904.38,-0.52,-0.52,1904,5
1904.46,-0.43,-0.49,1904,6
1904.54,-0.53,-0.51,1904,7
1904.63,-0.47,-0.5,1904,8
1904.71,-0.51,-0.56,1904,9
1904.79,-0.48,-0.39,1904,10
1904.88,-0.16,-0.18,1904,11
1904.96,-0.37,-0.33,1904,12
1905.04,-0.39,-0.35,1905,1
1905.13,-0.89,-0.59,1905,2
1905.21,-0.26,-0.22,1905,3
1905.29,-0.26,-0.34,1905,4
1905.38,-0.27,-0.29,1905,5
1905.46,-0.34,-0.28,1905,6
1905.54,-0.35,-0.26,1905,7
1905.63,-0.24,-0.2,1905,8
1905.71,-0.2,-0.19,1905,9
1905.79,-0.34,-0.25,1905,10
1905.88,-0.04,-0.07,1905,11
1905.96,-0.17,-0.13,1905,12
1906.04,-0.14,-0.28,1906,1
1906.13,-0.34,-0.29,1906,2
1906.21,-0.36,-0.19,1906,3
1906.29,0.05,-0.05,1906,4
1906.38,-0.25,-0.26,1906,5
1906.46,-0.18,-0.2,1906,6
1906.54,-0.11,-0.23,1906,7
1906.63,-0.11,-0.2,1906,8
1906.71,-0.25,-0.28,1906,9
1906.79,-0.13,-0.2,1906,10
1906.88,-0.5,-0.38,1906,11
1906.96,-0.15,-0.15,1906,12
1907.04,-0.47,-0.43,1907,1
1907.13,-0.6,-0.51,1907,2
1907.21,-0.41,-0.27,1907,3
1907.29,-0.51,-0.37,1907,4
1907.38,-0.65,-0.47,1907,5
1907.46,-0.61,-0.42,1907,6
1907.54,-0.36,-0.35,1907,7
1907.63,-0.48,-0.34,1907,8
1907.71,-0.35,-0.34,1907,9
1907.79,-0.19,-0.23,1907,10
1907.88,-0.47,-0.46,1907,11
1907.96,-0.52,-0.47,1907,12
1908.04,-0.38,-0.44,1908,1
1908.13,-0.38,-0.33,1908,2
1908.21,-0.52,-0.55,1908,3
1908.29,-0.42,-0.44,1908,4
1908.38,-0.23,-0.37,1908,5
1908.46,-0.34,-0.38,1908,6
1908.54,-0.31,-0.35,1908,7
1908.63,-0.41,-0.46,1908,8
1908.71,-0.11,-0.35,1908,9
1908.79,-0.33,-0.44,1908,10
1908.88,-0.58,-0.52,1908,11
1908.96,-0.38,-0.49,1908,12
1909.04,-0.79,-0.73,1909,1
1909.13,-0.52,-0.46,1909,2
1909.21,-0.54,-0.54,1909,3
1909.29,-0.54,-0.59,1909,4
1909.38,-0.55,-0.55,1909,5
1909.46,-0.33,-0.52,1909,6
1909.54,-0.31,-0.45,1909,7
1909.63,-0.12,-0.34,1909,8
1909.71,-0.24,-0.39,1909,9
1909.79,-0.23,-0.4,1909,10
1909.88,-0.17,-0.32,1909,11
1909.96,-0.53,-0.56,1909,12
1910.04,-0.34,-0.42,1910,1
1910.13,-0.26,-0.4,1910,2
1910.21,-0.43,-0.5,1910,3
